title,text,label,text_length,title_length
Government Announces New Education Reforms,The education ministry has proposed reforms to modernize the curriculum.,real,10,5
Economy Shows Signs of Recovery,The new study conducted by international researchers shows walking improves heart health.,real,12,5
Aliens Land in Central Park,Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,fake,12,5
Aliens Land in Central Park,The celebrity stated that secret documents reveal shocking information about the president.,fake,12,5
New Study Reveals Health Benefits of Walking,The education ministry has proposed reforms to modernize the curriculum.,real,10,7
Cure for Aging Discovered in Remote Village,Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,fake,12,7
Cure for Aging Discovered in Remote Village,The celebrity stated that secret documents reveal shocking information about the president.,fake,12,7
Government Announces New Education Reforms,Recent economic data shows that the GDP is steadily growing over the last two quarters.,real,15,5
Economy Shows Signs of Recovery,Recent economic data shows that the GDP is steadily growing over the last two quarters.,real,15,5
Celebrity Reveals Secret Government Plans,The celebrity stated that secret documents reveal shocking information about the president.,fake,12,5
Economy Shows Signs of Recovery,The education ministry has proposed reforms to modernize the curriculum.,real,10,5
Cure for Aging Discovered in Remote Village,An isolated village claims its elders live up to 150 due to a secret herbal tea.,fake,16,7
Celebrity Reveals Secret Government Plans,Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,fake,12,5
New Study Reveals Health Benefits of Walking,The new study conducted by international researchers shows walking improves heart health.,real,12,7
Celebrity Reveals Secret Government Plans,An isolated village claims its elders live up to 150 due to a secret herbal tea.,fake,16,5
New Study Reveals Health Benefits of Walking,Recent economic data shows that the GDP is steadily growing over the last two quarters.,real,15,7
Government Announces New Education Reforms,The new study conducted by international researchers shows walking improves heart health.,real,12,5
Aliens Land in Central Park,An isolated village claims its elders live up to 150 due to a secret herbal tea.,fake,16,5
